v_c,w_c,t_c
0.0,0.0,1579387209.367431
0.0,0.0,1579387209.432493
0.0,0.0,1579387209.46566
0.0,0.0,1579387209.531497
0.0,0.0,1579387209.607333
0.0,0.0,1579387209.673315
0.0,0.0,1579387209.705373
0.0,0.0,1579387209.771427
0.0,0.0,1579387209.847101
0.0,0.0,1579387209.913209
0.0,0.0,1579387209.94614
0.0,0.0,1579387210.011589
0.0,0.0,1579387210.088657
0.0,0.0,1579387210.152869
0.0,0.0,1579387210.18618
0.0,0.0,1579387210.251626
0.0,0.0,1579387210.327871
0.0,0.0,1579387210.392918
0.0,0.0,1579387210.426021
0.0,0.0,1579387210.491257
0.0,0.0,1579387210.567931
0.0,0.0,1579387210.63265
0.0,0.0,1579387210.66582
0.0,0.0,1579387210.73074
0.0,0.0,1579387210.807658
0.0,0.0,1579387210.873648
0.0,0.0,1579387210.911763
0.0,0.0,1579387210.972508
0.0,0.0,1579387211.005573
0.0,0.0,1579387211.066747
0.0,0.0,1579387211.097504
0.0,0.0,1579387211.169456
0.0,0.0,1579387211.20338
0.0,0.0,1579387211.267632
0.0,0.0,1579387211.298328
0.0,0.0,1579387211.362407
0.0,0.0,1579387211.39334
0.0,0.0,1579387211.455233
0.0,0.0,1579387211.498142
0.0,0.0,1579387211.562152
0.0,0.0,1579387211.626315
0.0,0.0,1579387211.660177
0.0,0.0,1579387211.721176
0.0,0.0,1579387211.752217
0.0,0.0,1579387211.814113
0.0,0.0,1579387211.888303
0.0,0.0,1579387211.952035
0.0,0.0,1579387211.985318
0.0,0.0,1579387212.049456
0.0,0.0,1579387212.080036
0.0,0.0,1579387212.141831
0.0,0.0,1579387212.172934
0.0,0.0,1579387212.218776
0.0,0.0,1579387212.249152
0.0,0.0,1579387212.318782
0.0,0.0,1579387212.349695
0.0,0.0,1579387212.417005
0.0,0.0,1579387212.486958
0.0,0.0,1579387212.558579
0.0,0.0,1579387212.589632
0.0,0.0,1579387212.656723
0.0,0.0,1579387212.72671
0.0,0.0,1579387212.798474
0.0,0.0,1579387212.829505
0.0,0.0,1579387212.896803
0.0,0.0,1579387212.966437
0.0,0.0,1579387213.039522
0.0,0.0,1579387213.070354
0.0,0.0,1579387213.137827
0.0,0.0,1579387213.206419
0.0,0.0,1579387213.279218
0.0,0.0,1579387213.310369
0.0,0.0,1579387213.377322
0.0,0.0,1579387213.447317
0.0,0.0,1579387213.519251
0.0,0.0,1579387213.55012
0.0,0.0,1579387213.61738
0.0,0.0,1579387213.687571
0.0,0.0,1579387213.759099
0.0,0.0,1579387213.789955
0.0,0.0,1579387213.857221
0.0,0.0,1579387213.927165
0.0,0.0,1579387213.99886
0.0,0.0,1579387214.029914
0.0,0.0,1579387214.097171
0.0,0.0,1579387214.166726
0.0,0.0,1579387214.238833
0.0,0.0,1579387214.269708
0.0,0.0,1579387214.336973
0.0,0.0,1579387214.406947
0.0,0.0,1579387214.47854
0.0,0.0,1579387214.509554
0.0,0.0,1579387214.576679
0.0,0.0,1579387214.646727
0.0,0.0,1579387214.718407
0.0,0.0,1579387214.749684
0.0,0.0,1579387214.816607
0.0,0.0,1579387214.886532
0.0,0.0,1579387214.958517
0.0,0.0,1579387214.989805
0.0,0.0,1579387215.056566
0.0,0.0,1579387215.101236
0.0,0.0,1579387215.131253
0.0,0.0,1579387215.168199
0.0,0.0,1579387215.229331
0.0,0.0,1579387215.260197
0.0,0.0,1579387215.296413
0.0,0.0,1579387215.341084
0.0,0.0,1579387215.40838
0.0,0.0,1579387215.438038
0.0,0.0,1579387215.503175
0.0,0.0,1579387215.580944
0.0,0.0,1579387215.649295
0.0,0.0,1579387215.678908
0.0,0.0,1579387215.742992
0.0,0.0,1579387215.820787
0.0,0.0,1579387215.889077
0.0,0.0,1579387215.918784
0.0,0.0,1579387215.980722
0.0,0.0,1579387216.060662
0.0,0.0,1579387216.128567
0.0,0.0,1579387216.158832
0.0,0.0,1579387216.222844
0.0,0.0,1579387216.300804
0.0,0.0,1579387216.368491
0.0,0.0,1579387216.398512
0.0,0.0,1579387216.462511
0.0,0.0,1579387216.540353
0.0,0.0,1579387216.608713
0.0,0.0,1579387216.63837
0.0,0.0,1579387216.702416
0.0,0.0,1579387216.780533
0.0,0.0,1579387216.848454
0.0,0.0,1579387216.878599
0.0,0.0,1579387216.942899
0.0,0.0,1579387217.020346
0.0,0.0,1579387217.08854
0.0,0.0,1579387217.118148
0.0,0.0,1579387217.182368
0.0,0.0,1579387217.260045
0.0,0.0,1579387217.32819
0.0,0.0,1579387217.358021
0.0,0.0,1579387217.422267
0.0,0.0,1579387217.499915
0.0,0.0,1579387217.567878
0.0,0.0,1579387217.598119
0.0,0.0,1579387217.662098
0.0,0.0,1579387217.739993
0.0,0.0,1579387217.813744
0.0,0.0,1579387217.859747
0.0,0.0,1579387217.890233
0.0,0.0,1579387217.979716
0.0,0.0,1579387218.054031
0.0,0.0,1579387218.11466
0.0,0.0,1579387218.145574
0.0,0.0,1579387218.220475
0.0,0.0,1579387218.293442
0.0,0.0,1579387218.354488
0.0,0.0,1579387218.385442
0.0,0.0,1579387218.460382
0.0,0.0,1579387218.533343
0.0,0.0,1579387218.594354
0.0,0.0,1579387218.625304
0.0,0.0,1579387218.700342
0.0,0.0,1579387218.773221
0.0,0.0,1579387218.834348
0.0,0.0,1579387218.86545
0.0,0.0,1579387218.940295
0.0,0.0,1579387219.0131
0.0,0.0,1579387219.074042
0.0,0.0,1579387219.105051
0.0,0.0,1579387219.180165
0.0,0.0,1579387219.25297
0.0,0.0,1579387219.313903
0.0,0.0,1579387219.344992
0.0,0.0,1579387219.420202
0.0,0.0,1579387219.4928
0.0,0.0,1579387219.554017
0.0,0.0,1579387219.585216
0.0,0.0,1579387219.660027
0.0,0.0,1579387219.73286
0.0,0.0,1579387219.793872
0.0,0.0,1579387219.824659
0.0,0.0,1579387219.89971
0.0,0.0,1579387219.972679
0.0,0.0,1579387220.033719
0.0,0.0,1579387220.064648
0.0,0.0,1579387220.139615
0.0,0.0,1579387220.212591
0.0,0.0,1579387220.27345
0.0,0.0,1579387220.304555
0.0,0.0,1579387220.379669
0.0,0.0,1579387220.454076
0.0,0.0,1579387220.499366
0.0,0.0,1579387220.530005
0.0,0.0,1579387220.619194
0.0,0.0,1579387220.69326
0.0,0.0,1579387220.754408
0.0,0.0,1579387220.785164
0.0,0.0,1579387220.860061
0.0,0.0,1579387220.933065
0.0,0.0,1579387220.99411
0.0,0.0,1579387221.025015
0.0,0.0,1579387221.099904
0.0,0.0,1579387221.172955
0.0,0.0,1579387221.233971
0.0,0.0,1579387221.264994
0.0,0.0,1579387221.339964
