vx,pedal_c,brake_c,v_out
0.0,0.209,0.0,0.0
0.0,0.209,0.0,0.0
0.0,0.209,0.0,0.0
0.0,0.209,0.0,0.0
0.0,0.209,0.0,0.0
0.0,0.209,0.0,0.0
0.0,0.209,0.0,0.0
0.0,0.209,0.0,0.0
0.0,0.209,0.0,0.0
0.0,0.209,0.0,0.0
0.0,0.209,0.0,0.0
0.0,0.209,0.0,0.0
0.0,0.209,0.0,0.0
0.0,0.209,0.0,0.0
0.0,0.209,0.0,0.0
0.0,0.209,0.0,0.0
0.0,0.209,0.0,0.0
0.0,0.209,0.0,0.0
0.0,0.209,0.0,0.0
0.0,0.209,0.0,0.0
0.0,0.209,0.0,0.0
0.0,0.209,0.0,0.0
0.0,0.209,0.0,0.0
0.0,0.209,0.0,0.0
0.0,0.209,0.0,0.0
0.0,0.209,0.0,0.0
0.0,0.209,0.0,0.0
0.0,0.209,0.0,0.0
0.0,0.209,0.0,0.0
0.0,0.209,0.0,0.0
0.0,0.209,0.0,0.0
0.0,0.209,0.0,0.0
0.0,0.209,0.0,0.0
0.0,0.209,0.0,0.0
0.0,0.209,0.0,0.0
0.0,0.209,0.0,0.0
0.0,0.209,0.0,0.0
0.0,0.209,0.0,0.0
0.0,0.209,0.0,0.0
0.0,0.282,0.0,0.0
0.0,0.33,0.0,0.0
0.0,0.37,0.0,0.0
0.0,0.37,0.0,0.0
0.0,0.372,0.0,0.0
0.0,0.372,0.0,0.0
0.0,0.372,0.0,0.04
0.04,0.372,0.0,0.09
0.09,0.372,0.0,0.11
0.11,0.372,0.0,0.18
0.18,0.372,0.0,0.26
0.26,0.372,0.0,0.28
0.28,0.372,0.0,0.16
0.16,0.372,0.0,0.11
0.11,0.358,0.0,0.17
0.17,0.381,0.0,0.09
0.09,0.381,0.0,0.03
0.03,0.393,0.0,0.16
0.16,0.402,0.0,0.24
0.24,0.402,0.0,0.11
0.11,0.402,0.0,0.06
0.06,0.384,0.0,0.06
0.06,0.384,0.0,0.04
0.04,0.384,0.0,0.16
0.16,0.384,0.0,0.2
0.2,0.384,0.0,0.12
0.12,0.384,0.0,0.06
0.06,0.379,0.0,0.03
0.03,0.379,0.0,0.17
0.17,0.379,0.0,0.22
0.22,0.379,0.0,0.18
0.18,0.377,0.0,0.11
0.11,0.377,0.0,0.1
0.1,0.377,0.0,0.16
0.16,0.375,0.0,0.24
0.24,0.375,0.0,0.25
0.25,0.375,0.0,0.19
0.19,0.365,0.0,0.16
0.16,0.337,0.0,0.18
0.18,0.312,0.0,0.24
0.24,0.25,0.0,0.23
0.23,0.25,0.0,0.2
0.2,0.218,0.0,0.16
0.16,0.209,0.0,0.19
0.19,0.209,0.0,0.23
0.23,0.209,0.0,0.26
0.26,0.209,0.0,0.24
0.24,0.209,0.0,0.23
0.23,0.209,0.0,0.22
0.22,0.209,0.0,0.21
0.21,0.209,0.0,0.21
0.21,0.209,0.0,0.2
0.2,0.209,0.0,0.19
0.19,0.209,0.0,0.19
0.19,0.209,0.0,0.19
0.19,0.209,0.0,0.18
0.18,0.209,0.0,0.17
0.17,0.209,0.0,0.17
0.17,0.209,0.0,0.16
0.16,0.209,0.0,0.16
0.16,0.209,0.0,0.16
0.16,0.209,0.0,0.16
0.16,0.209,0.0,0.16
0.16,0.209,0.0,0.16
0.16,0.209,0.0,0.18
0.18,0.209,0.0,0.23
0.23,0.209,0.0,0.25
0.25,0.209,0.0,0.25
0.25,0.209,0.0,0.25
0.25,0.209,0.0,0.25
0.25,0.209,0.0,0.24
0.24,0.209,0.0,0.24
0.24,0.209,0.0,0.23
0.23,0.209,0.0,0.23
0.23,0.209,0.0,0.22
0.22,0.209,0.0,0.22
0.22,0.209,0.0,0.21
0.21,0.209,0.0,0.21
0.21,0.209,0.0,0.2
0.2,0.209,0.0,0.2
0.2,0.209,0.0,0.19
0.19,0.209,0.0,0.19
0.19,0.209,0.0,0.18
0.18,0.209,0.0,0.17
0.17,0.209,0.0,0.17
0.17,0.209,0.0,0.17
0.17,0.209,0.0,0.16
0.16,0.209,0.0,0.16
0.16,0.209,0.0,0.16
0.16,0.209,0.0,0.16
0.16,0.209,0.0,0.16
0.16,0.209,0.0,0.16
0.16,0.209,0.0,0.17
0.17,0.209,0.0,0.17
0.17,0.209,0.0,0.19
0.19,0.209,0.0,0.2
0.2,0.209,0.0,0.2
0.2,0.209,0.0,0.2
0.2,0.209,0.0,0.2
0.2,0.209,0.0,0.2
0.2,0.209,0.0,0.2
0.2,0.209,0.0,0.2
0.2,0.209,0.0,0.2
0.2,0.209,0.0,0.19
0.19,0.209,0.0,0.19
0.19,0.209,0.0,0.19
0.19,0.209,0.0,0.19
0.19,0.209,0.0,0.19
0.19,0.209,0.0,0.19
0.19,0.209,0.0,0.19
0.19,0.209,0.0,0.19
0.19,0.209,0.0,0.19
0.19,0.209,0.0,0.19
0.19,0.342,0.0,0.18
0.18,0.4,0.0,0.18
0.18,0.4,0.0,0.19
0.19,0.474,0.0,0.23
0.23,0.507,0.0,0.26
0.26,0.573,0.0,0.33
0.33,0.573,0.0,0.45
0.45,0.573,0.0,0.55
0.55,0.573,0.0,0.57
0.57,0.573,0.0,0.26
0.26,0.573,0.0,0.1
0.1,0.573,0.0,0.04
0.04,0.573,0.0,0.49
0.49,0.573,0.0,0.63
0.63,0.545,0.0,0.51
0.51,0.545,0.0,0.21
0.21,0.532,0.0,0.15
0.15,0.531,0.0,0.37
0.37,0.531,0.0,0.67
0.67,0.531,0.0,0.68
0.68,0.531,0.0,0.49
0.49,0.531,0.0,0.37
0.37,0.527,0.0,0.45
0.45,0.527,0.0,0.71
0.71,0.527,0.0,0.82
0.82,0.523,0.0,0.76
0.76,0.523,0.0,0.63
0.63,0.523,0.0,0.68
0.68,0.504,0.0,0.81
0.81,0.469,0.0,0.98
0.98,0.462,0.0,0.87
0.87,0.46,0.0,0.8
0.8,0.46,0.0,0.84
0.84,0.46,0.0,1.07
1.07,0.46,0.0,1.17
1.17,0.46,0.0,1.13
1.13,0.46,0.0,1.0
1.0,0.46,0.0,1.06
1.06,0.453,0.0,1.15
1.15,0.414,0.0,1.29
1.29,0.414,0.0,1.22
1.22,0.381,0.0,1.13
1.13,0.37,0.0,1.03
1.03,0.321,0.0,1.21
1.21,0.294,0.0,1.32
1.32,0.25,0.0,1.4
1.4,0.25,0.0,1.28
1.28,0.245,0.0,1.21
1.21,0.216,0.0,1.18
1.18,0.209,0.0,1.25
1.25,0.209,0.0,1.27
1.27,0.209,0.0,1.3
1.3,0.209,0.0,1.32
1.32,0.209,0.0,1.31
1.31,0.263,0.0,1.31
1.31,0.331,0.0,1.3
1.3,0.446,0.0,1.3
1.3,0.501,0.0,1.38
1.38,0.501,0.0,1.5
1.5,0.518,0.0,1.58
1.58,0.55,0.0,1.68
1.68,0.564,0.0,1.38
1.38,0.589,0.0,1.24
1.24,0.603,0.0,1.25
1.25,0.606,0.0,1.56
1.56,0.606,0.0,1.71
1.71,0.606,0.0,1.68
1.68,0.609,0.0,1.42
1.42,0.611,0.0,1.37
1.37,0.611,0.0,1.5
1.5,0.611,0.0,1.76
1.76,0.611,0.0,1.82
1.82,0.611,0.0,1.72
1.72,0.583,0.0,1.6
1.6,0.55,0.0,1.63
1.63,0.435,0.0,1.83
1.83,0.395,0.0,1.88
1.88,0.395,0.0,1.78
1.78,0.384,0.0,1.62
1.62,0.368,0.0,1.73
1.73,0.349,0.0,1.83
1.83,0.331,0.0,1.98
1.98,0.33,0.0,1.95
1.95,0.33,0.0,1.91
1.91,0.33,0.0,1.89
1.89,0.33,0.0,2.0
2.0,0.323,0.0,2.03
2.03,0.323,0.0,2.03
2.03,0.323,0.0,1.93
1.93,0.323,0.0,1.9
1.9,0.323,0.0,1.92
1.92,0.323,0.0,1.98
1.98,0.323,0.0,2.03
2.03,0.342,0.0,2.07
2.07,0.365,0.0,2.11
2.11,0.375,0.0,2.11
2.11,0.375,0.0,2.06
2.06,0.381,0.0,2.02
2.02,0.407,0.0,2.03
2.03,0.423,0.0,2.07
2.07,0.441,0.0,2.14
2.14,0.446,0.0,2.15
2.15,0.446,0.0,2.11
2.11,0.465,0.0,2.11
2.11,0.474,0.0,2.15
2.15,0.481,0.0,2.2
2.2,0.481,0.0,2.26
2.26,0.481,0.0,2.23
2.23,0.481,0.0,2.21
2.21,0.481,0.0,2.25
2.25,0.481,0.0,2.36
2.36,0.481,0.0,2.38
2.38,0.481,0.0,2.36
2.36,0.481,0.0,2.37
2.37,0.481,0.0,2.37
2.37,0.481,0.0,2.47
2.47,0.481,0.0,2.46
2.46,0.481,0.0,2.45
2.45,0.481,0.0,2.52
2.52,0.481,0.0,2.59
2.59,0.481,0.0,2.61
2.61,0.481,0.0,2.62
2.62,0.481,0.0,2.64
2.64,0.481,0.0,2.67
2.67,0.465,0.0,2.71
2.71,0.46,0.0,2.75
2.75,0.458,0.0,2.74
2.74,0.458,0.0,2.74
2.74,0.458,0.0,2.85
2.85,0.458,0.0,2.9
2.9,0.458,0.0,2.94
2.94,0.458,0.0,2.9
2.9,0.458,0.0,2.89
2.89,0.458,0.0,2.97
2.97,0.458,0.0,3.07
3.07,0.455,0.0,3.08
3.08,0.455,0.0,3.09
3.09,0.449,0.0,3.08
3.08,0.449,0.0,3.07
3.07,0.449,0.0,3.15
3.15,0.448,0.0,3.22
3.22,0.448,0.0,3.25
3.25,0.442,0.0,3.24
3.24,0.442,0.0,3.2
3.2,0.442,0.0,3.25
3.25,0.442,0.0,3.36
3.36,0.442,0.0,3.41
3.41,0.398,0.0,3.41
