v_c,w_c,t_c
0.0,0.0,1579539746.415985
0.0,0.0,1579539746.447001
0.0,0.0,1579539746.514091
0.0,0.0,1579539746.586196
0.0,0.0,1579539746.657068
0.0,0.0,1579539746.687916
0.0,0.0,1579539746.759265
0.0,0.0,1579539746.82497
0.0,0.0,1579539746.85692
0.0,0.0,1579539746.922576
0.0,0.0,1579539746.989983
0.0,0.0,1579539747.064016
0.0,0.0,1579539747.096016
0.0,0.0,1579539747.16127
0.0,0.0,1579539747.229133
0.0,0.0,1579539747.303071
0.0,0.0,1579539747.393059
0.0,0.0,1579539747.46896
0.0,0.0,1579539747.512912
0.0,0.0,1579539747.543078
0.0,0.0,1579539747.632925
0.0,0.0,1579539747.709033
0.0,0.0,1579539747.75292
0.0,0.0,1579539747.782883
0.0,0.0,1579539747.872927
0.0,0.0,1579539747.949139
0.0,0.0,1579539747.992959
0.0,0.0,1579539748.02297
0.0,0.0,1579539748.113001
0.0,0.0,1579539748.188927
0.0,0.0,1579539748.233077
0.0,0.0,1579539748.263004
0.0,0.0,1579539748.296085
0.0,0.0,1579539748.361358
0.0,0.0,1579539748.430832
0.0,0.0,1579539748.50516
0.0,0.0,1579539748.592072
0.0,0.0,1579539748.670941
0.0,0.0,1579539748.714778
0.0,0.0,1579539748.744935
0.0,0.0,1579539748.832902
0.0,0.0,1579539748.909044
0.0,0.0,1579539748.953067
0.0,0.0,1579539748.982777
0.0,0.0,1579539749.072791
0.0,0.0,1579539749.148847
0.0,0.0,1579539749.192891
0.0,0.0,1579539749.22306
0.0,0.0,1579539749.312832
0.0,0.0,1579539749.389035
0.0,0.0,1579539749.432882
0.0,0.0,1579539749.463008
0.0,0.0,1579539749.552846
0.0,0.0,1579539749.628824
0.0,0.0,1579539749.672875
0.0,0.0,1579539749.702974
0.0,0.0,1579539749.778745
0.0,0.0,1579539749.809892
0.0,0.0,1579539749.877376
0.0,0.0,1579539749.94791
0.0,0.0,1579539749.988813
0.0,0.0,1579539750.049832
0.0,0.0,1579539750.080903
0.0,0.0,1579539750.116992
0.0,0.0,1579539750.157794
0.0,0.0,1579539750.187959
0.0,0.0,1579539750.228792
0.0,0.0,1579539750.258879
0.0,0.0,1579539750.28979
0.0,0.0,1579539750.357153
0.0,0.0,1579539750.427832
0.0,0.0,1579539750.468807
0.0,0.0,1579539750.530115
0.0,0.0,1579539750.560782
0.0,0.0,1579539750.596955
0.0,0.0,1579539750.637838
0.0,0.0,1579539750.669017
0.0,0.0,1579539750.708829
0.0,0.0,1579539750.738885
0.0,0.0,1579539750.771092
0.0,0.0,1579539750.83714
0.0,0.0,1579539750.882663
0.0,0.0,1579539750.912734
0.0,0.0,1579539750.948993
0.0,0.0,1579539751.011007
0.0,0.0,1579539751.077071
0.0,0.0,1579539751.152854
0.0,0.0,1579539751.188791
0.0,0.0,1579539751.250956
0.0,0.0,1579539751.281936
0.0,0.0,1579539751.316982
0.0,0.0,1579539751.363021
0.0,0.0,1579539751.428779
0.0,0.0,1579539751.458771
0.0,0.0,1579539751.52165
0.0,0.0,1579539751.602677
0.0,0.0,1579539751.669647
0.0,0.0,1579539751.699739
0.0,0.0,1579539751.765017
0.0,0.0,1579539751.843083
0.0,0.0,1579539751.909717
0.0,0.0,1579539751.939719
0.0,0.0,1579539752.002849
0.0,0.0,1579539752.08379
0.0,0.0,1579539752.149729
0.0,0.0,1579539752.179876
0.0,0.0,1579539752.245883
0.0,0.0,1579539752.323805
0.0,0.0,1579539752.389832
0.0,0.0,1579539752.41978
0.0,0.0,1579539752.486005
0.0,0.0,1579539752.563771
0.0,0.0,1579539752.629734
0.0,0.0,1579539752.659705
-0.0,-0.0482093021273613,1579539752.722653
-0.0,-0.0482093021273613,1579539752.803734
-0.0,-0.0482093021273613,1579539752.869617
-0.0,-0.0482093021273613,1579539752.89981
-0.0,-0.0482093021273613,1579539752.962979
-0.0,-0.0482093021273613,1579539753.043784
-0.0,-0.0482093021273613,1579539753.110778
0.0309916939586401,-0.0482093021273613,1579539753.140764
-0.0,-0.05853971838951111,1579539753.206157
0.0309916939586401,-0.0413222573697567,1579539753.283695
-0.0,-0.0482093021273613,1579539753.355818
-0.0,-0.0413222573697567,1579539753.416726
0.04476577788591385,-0.0413222573697567,1579539753.447764
0.10674916952848434,-0.0482093021273613,1579539753.524886
0.17217592895030975,-0.0482093021273613,1579539753.595966
0.2031676173210144,-0.03099154494702816,1579539753.656899
0.2100546658039093,-0.0413222573697567,1579539753.687582
0.22727227210998535,-0.0482093021273613,1579539753.764591
0.26170748472213745,-0.0413222573697567,1579539753.835688
0.2582639753818512,-0.0482093021273613,1579539753.896677
0.26170748472213745,-0.0482093021273613,1579539753.927829
0.2926991879940033,-0.03099154494702816,1579539754.004617
0.32369086146354675,-0.0482093021273613,1579539754.075669
0.43732693791389465,-0.0413222573697567,1579539754.137052
0.45110100507736206,-0.0413222573697567,1579539754.167843
0.557850182056427,-0.0482093021273613,1579539754.244884
0.6542688012123108,-0.0413222573697567,1579539754.315698
0.6783734560012817,-0.0413222573697567,1579539754.376672
0.6783734560012817,-0.0482093021273613,1579539754.407684
0.6852604746818542,-0.0413222573697567,1579539754.484746
0.6921475529670715,-0.0413222573697567,1579539754.555684
0.7162520289421082,-0.0482093021273613,1579539754.616705
0.7231390476226807,-0.0482093021273613,1579539754.647575
0.8436623215675354,-0.0413222573697567,1579539754.724659
0.8815410733222961,-0.0413222573697567,1579539754.795588
0.8367753028869629,-0.0482093021273613,1579539754.856796
0.8230012059211731,-0.05853971838951111,1579539754.887671
0.8298882246017456,-0.0482093021273613,1579539754.964723
0.8574364185333252,-0.0413222573697567,1579539755.036631
0.8677669763565063,-0.0413222573697567,1579539755.097711
0.8677669763565063,-0.0413222573697567,1579539755.12873
0.8505493402481079,-0.0482093021273613,1579539755.204567
0.9194198250770569,-0.0413222573697567,1579539755.2766
0.8953151702880859,-0.0413222573697567,1579539755.33777
0.8953151702880859,-0.0413222573697567,1579539755.368623
0.8884280920028687,-0.0482093021273613,1579539755.444645
0.9331938624382019,-0.0482093021273613,1579539755.516489
0.9435244202613831,-0.0413222573697567,1579539755.577607
0.9435244202613831,-0.0413222573697567,1579539755.608624
0.9331938624382019,-0.0413222573697567,1579539755.68487
0.9435244202613831,-0.0482093021273613,1579539755.756707
0.9504114985466003,-0.0482093021273613,1579539755.8178
0.9504114985466003,-0.0482093021273613,1579539755.851708
0.9710724949836731,-0.0413222573697567,1579539755.929653
0.9710724949836731,-0.0413222573697567,1579539755.996659
1.0330559015274048,-0.0482093021273613,1579539756.059131
1.0399428606033325,-0.0413222573697567,1579539756.089805
1.0399428606033325,-0.0413222573697567,1579539756.170652
1.0468299388885498,-0.0482093021273613,1579539756.236507
1.0847086906433105,-0.0413222573697567,1579539756.298744
1.0778216123580933,-0.0482093021273613,1579539756.332623
1.1398050785064697,-0.05853971838951111,1579539756.410642
1.236223578453064,-0.0413222573697567,1579539756.476631
