v,w,t
9.405453846311751e-17,-7.383416794626285e-17,1579387209.339126
9.405453846311751e-17,-7.383416794626285e-17,1579387209.3891315
9.405453846311751e-17,-7.383416794626285e-17,1579387209.4391556
9.405453846311751e-17,-7.383416794626285e-17,1579387209.4891388
9.405453846311751e-17,-7.383416794626285e-17,1579387209.5391324
9.405453846311751e-17,-7.383416794626285e-17,1579387209.5891683
9.405453846311751e-17,-7.383416794626285e-17,1579387209.6391296
9.405453846311751e-17,-7.383416794626285e-17,1579387209.6891534
9.405453846311751e-17,-7.383416794626285e-17,1579387209.7391305
9.405453846311751e-17,-7.383416794626285e-17,1579387209.7891114
9.405453846311751e-17,-7.383416794626285e-17,1579387209.8391292
9.405453846311751e-17,-7.383416794626285e-17,1579387209.8891346
9.405453846311751e-17,-7.383416794626285e-17,1579387209.9391303
9.405453846311751e-17,-7.383416794626285e-17,1579387209.989131
9.405453846311751e-17,-7.383416794626285e-17,1579387210.0391512
9.405453846311751e-17,-7.383416794626285e-17,1579387210.089127
9.405453846311751e-17,-7.383416794626285e-17,1579387210.1391337
9.405453846311751e-17,-7.383416794626285e-17,1579387210.1891105
9.405453846311751e-17,-7.383416794626285e-17,1579387210.2391307
9.405453846311751e-17,-7.383416794626285e-17,1579387210.2891376
9.405453846311751e-17,-7.383416794626285e-17,1579387210.3391538
9.405453846311751e-17,-7.383416794626285e-17,1579387210.3891442
9.405453846311751e-17,-7.383416794626285e-17,1579387210.4391496
9.405453846311751e-17,-7.383416794626285e-17,1579387210.4891355
9.405453846311751e-17,-7.383416794626285e-17,1579387210.5391326
9.405453846311751e-17,-7.383416794626285e-17,1579387210.5891716
9.405453846311751e-17,-7.383416794626285e-17,1579387210.6391551
9.405453846311751e-17,-7.383416794626285e-17,1579387210.6891372
9.405453846311751e-17,-7.383416794626285e-17,1579387210.7391567
9.405453846311751e-17,-7.383416794626285e-17,1579387210.7891493
9.405453846311751e-17,-7.383416794626285e-17,1579387210.8391216
9.405453846311751e-17,-7.383416794626285e-17,1579387210.8891356
9.405453846311751e-17,-7.383416794626285e-17,1579387210.9391432
9.405453846311751e-17,-7.383416794626285e-17,1579387210.989132
9.405453846311751e-17,-7.383416794626285e-17,1579387211.0391493
9.405453846311751e-17,-7.383416794626285e-17,1579387211.089134
9.405453846311751e-17,-7.383416794626285e-17,1579387211.13913
9.405453846311751e-17,-7.383416794626285e-17,1579387211.189129
9.405453846311751e-17,-7.383416794626285e-17,1579387211.23913
9.405453846311751e-17,-7.383416794626285e-17,1579387211.2893584
9.405453846311751e-17,-7.383416794626285e-17,1579387211.3391294
9.405453846311751e-17,-7.383416794626285e-17,1579387211.389167
9.405453846311751e-17,-7.383416794626285e-17,1579387211.4391534
9.405453846311751e-17,-7.383416794626285e-17,1579387211.4891407
9.405453846311751e-17,-7.383416794626285e-17,1579387211.539131
9.405453846311751e-17,-7.383416794626285e-17,1579387211.5893087
9.405453846311751e-17,-7.383416794626285e-17,1579387211.6391056
9.405453846311751e-17,-7.383416794626285e-17,1579387211.6891587
9.405453846311751e-17,-7.383416794626285e-17,1579387211.739131
9.405453846311751e-17,-7.383416794626285e-17,1579387211.789105
9.405453846311751e-17,-7.383416794626285e-17,1579387211.8391495
9.405453846311751e-17,-7.383416794626285e-17,1579387211.8891356
9.405453846311751e-17,-7.383416794626285e-17,1579387211.9391336
9.405453846311751e-17,-7.383416794626285e-17,1579387211.9891012
9.405453846311751e-17,-7.383416794626285e-17,1579387212.0391314
9.405453846311751e-17,-7.383416794626285e-17,1579387212.0891538
