v,w,t
-1.5220572198437754e-15,-1.6609977282477928e-16,1579385476.736633
-1.5220572198437754e-15,-1.6609977282477928e-16,1579385476.7866108
-1.5220572198437754e-15,-1.6609977282477928e-16,1579385476.8366075
-1.5220572198437754e-15,-1.6609977282477928e-16,1579385476.886607
-1.5220572198437754e-15,-1.6609977282477928e-16,1579385476.9366462
-1.5220572198437754e-15,-1.6609977282477928e-16,1579385476.986657
-1.5220572198437754e-15,-1.6609977282477928e-16,1579385477.0366402
-1.5220572198437754e-15,-1.6609977282477928e-16,1579385477.0866103
-1.5220572198437754e-15,-1.6609977282477928e-16,1579385477.1366053
-1.5220572198437754e-15,-1.6609977282477928e-16,1579385477.186605
-1.5220572198437754e-15,-1.6609977282477928e-16,1579385477.236609
-1.5220572198437754e-15,-1.6609977282477928e-16,1579385477.286603
-1.5220572198437754e-15,-1.6609977282477928e-16,1579385477.336692
-1.5220572198437754e-15,-1.6609977282477928e-16,1579385477.3866072
-1.5220572198437754e-15,-1.6609977282477928e-16,1579385477.4366164
-1.5220572198437754e-15,-1.6609977282477928e-16,1579385477.4866264
-1.5220572198437754e-15,-1.6609977282477928e-16,1579385477.536605
-1.5220572198437754e-15,-1.6609977282477928e-16,1579385477.5866046
-1.5220572198437754e-15,-1.6609977282477928e-16,1579385477.6366045
-1.5220572198437754e-15,-1.6609977282477928e-16,1579385477.6866271
-1.5220572198437754e-15,-1.6609977282477928e-16,1579385477.7366076
-1.5220572198437754e-15,-1.6609977282477928e-16,1579385477.7866518
-1.5220572198437754e-15,-1.6609977282477928e-16,1579385477.8366115
-1.5220572198437754e-15,-1.6609977282477928e-16,1579385477.8866065
-1.5220572198437754e-15,-1.6609977282477928e-16,1579385477.9366105
-1.5220572198437754e-15,-1.6609977282477928e-16,1579385477.9865847
-1.5220572198437754e-15,-1.6609977282477928e-16,1579385478.0366154
-1.5220572198437754e-15,-1.6609977282477928e-16,1579385478.0866036
-1.5220572198437754e-15,-1.6609977282477928e-16,1579385478.1366074
-1.5220572198437754e-15,-1.6609977282477928e-16,1579385478.1866052
-1.5220572198437754e-15,-1.6609977282477928e-16,1579385478.2366123
-1.5220572198437754e-15,-1.6609977282477928e-16,1579385478.2866077
-1.5220572198437754e-15,-1.6609977282477928e-16,1579385478.3366122
-1.5220572198437754e-15,-1.6609977282477928e-16,1579385478.3866045
-1.5220572198437754e-15,-1.6609977282477928e-16,1579385478.43661
-1.5220572198437754e-15,-1.6609977282477928e-16,1579385478.4866045
-1.5220572198437754e-15,-1.6609977282477928e-16,1579385478.5366228
-1.5220572198437754e-15,-1.6609977282477928e-16,1579385478.5866067
-1.5220572198437754e-15,-1.6609977282477928e-16,1579385478.636637
-1.5220572198437754e-15,-1.6609977282477928e-16,1579385478.6866493
-1.5220572198437754e-15,-1.6609977282477928e-16,1579385478.7366037
-1.5220572198437754e-15,-1.6609977282477928e-16,1579385478.786685
-1.5220572198437754e-15,-1.6609977282477928e-16,1579385478.8366072
-1.5220572198437754e-15,-1.6609977282477928e-16,1579385478.8866346
-1.5220572198437754e-15,-1.6609977282477928e-16,1579385478.9366066
-1.5220572198437754e-15,-1.6609977282477928e-16,1579385478.98663
-1.5220572198437754e-15,-1.6609977282477928e-16,1579385479.036662
-1.5220572198437754e-15,-1.6609977282477928e-16,1579385479.086601
-0.000130899055474598,0.00024240565828330786,1579385479.136629
-0.00026179966800494916,0.0004848142000061804,1579385479.1866438
-0.00039269843973466125,0.0007272193328389806,1579385479.236609
-0.0005236000684994931,0.0009696297564775583,1579385479.2866044
-0.0006544974321120365,0.001212032281685972,1579385479.336655
-0.0006544974321120365,0.001212032281685972,1579385479.3866072
-0.0006544974321120365,0.001212032281685972,1579385479.4366424
-0.0006544974321120365,0.001212032281685972,1579385479.4866116
-0.0006544974321120365,0.001212032281685972,1579385479.5366106
-0.0006544974321120365,0.001212032281685972,1579385479.5866497
-0.0005235983766389605,0.0009696266234024979,1579385479.636598
-0.0003926977641086093,0.0007272180816796254,1579385479.6866605
-0.0002617989923788972,0.00048481294884682516,1579385479.7366076
-0.00013089736361406528,0.00024240252520824754,1579385479.7866023
-1.5219487996265268e-15,-1.6601845766184287e-16,1579385479.8366039
-1.5219487996265268e-15,-1.6601845766184287e-16,1579385479.886617
-1.5219487996265268e-15,-1.6601845766184287e-16,1579385479.9366126
-1.5219487996265268e-15,-1.6601845766184287e-16,1579385479.986605
-1.5219487996265268e-15,-1.6601845766184287e-16,1579385480.0366094
-1.5219487996265268e-15,-1.6601845766184287e-16,1579385480.0866044
-1.5219487996265268e-15,-1.6601845766184287e-16,1579385480.1366234
-1.5219487996265268e-15,-1.6601845766184287e-16,1579385480.1866403
-1.5219487996265268e-15,-1.6601845766184287e-16,1579385480.2366307
-1.5219487996265268e-15,-1.6601845766184287e-16,1579385480.2866967
-1.5219487996265268e-15,-1.6601845766184287e-16,1579385480.3366091
-1.5219487996265268e-15,-1.6601845766184287e-16,1579385480.3866472
-1.5219487996265268e-15,-1.6601845766184287e-16,1579385480.4366045
-1.5219487996265268e-15,-1.6601845766184287e-16,1579385480.48665
-1.5219487996265268e-15,-1.6601845766184287e-16,1579385480.5366042
-1.5219487996265268e-15,-1.6601845766184287e-16,1579385480.5866086
-1.5219487996265268e-15,-1.6601845766184287e-16,1579385480.6366067
-1.5219487996265268e-15,-1.6601845766184287e-16,1579385480.6866176
-1.5219487996265268e-15,-1.6601845766184287e-16,1579385480.7365754
-1.5219487996265268e-15,-1.6601845766184287e-16,1579385480.7866685
-1.5219487996265268e-15,-1.6601845766184287e-16,1579385480.8366055
-1.5219487996265268e-15,-1.6601845766184287e-16,1579385480.8865957
-1.5219487996265268e-15,-1.6601845766184287e-16,1579385480.9366078
-1.5219487996265268e-15,-1.6601845766184287e-16,1579385480.986607
-1.5219487996265268e-15,-1.6601845766184287e-16,1579385481.0366068
-1.5219487996265268e-15,-1.6601845766184287e-16,1579385481.086606
-1.5219487996265268e-15,-1.6601845766184287e-16,1579385481.1366236
-1.5219487996265268e-15,-1.6601845766184287e-16,1579385481.1866035
-1.5219487996265268e-15,-1.6601845766184287e-16,1579385481.2366216
-1.5219487996265268e-15,-1.6601845766184287e-16,1579385481.2866056
-1.5219487996265268e-15,-1.6601845766184287e-16,1579385481.3365848
-1.5219487996265268e-15,-1.6601845766184287e-16,1579385481.3866024
-1.5219487996265268e-15,-1.6601845766184287e-16,1579385481.4366045
-1.5219487996265268e-15,-1.6601845766184287e-16,1579385481.4866407
-1.5219487996265268e-15,-1.6601845766184287e-16,1579385481.5366466
-1.5219487996265268e-15,-1.6601845766184287e-16,1579385481.5866036
-1.5219487996265268e-15,-1.6601845766184287e-16,1579385481.63661
-1.5219487996265268e-15,-1.6601845766184287e-16,1579385481.6866493
-1.5219487996265268e-15,-1.6601845766184287e-16,1579385481.7366264
-1.5219487996265268e-15,-1.6601845766184287e-16,1579385481.7866082
-1.5219487996265268e-15,-1.6601845766184287e-16,1579385481.8366032
-1.5219487996265268e-15,-1.6601845766184287e-16,1579385481.8866029
-1.5219487996265268e-15,-1.6601845766184287e-16,1579385481.936604
-1.5219487996265268e-15,-1.6601845766184287e-16,1579385481.9866054
-1.5219487996265268e-15,-1.6601845766184287e-16,1579385482.0366037
