v,w,t
-2.9272645505479256e-15,-4.2404502218623685e-16,1579539746.36823
-2.9272645505479256e-15,-4.2404502218623685e-16,1579539746.4187589
-2.9272645505479256e-15,-4.2404502218623685e-16,1579539746.4692998
-2.9272645505479256e-15,-4.2404502218623685e-16,1579539746.5198987
-2.9272645505479256e-15,-4.2404502218623685e-16,1579539746.5603893
-2.9272645505479256e-15,-4.2404502218623685e-16,1579539746.6108508
-2.9272645505479256e-15,-4.2404502218623685e-16,1579539746.6615324
-2.9272645505479256e-15,-4.2404502218623685e-16,1579539746.7121243
-2.9272645505479256e-15,-4.2404502218623685e-16,1579539746.7627058
-2.9272645505479256e-15,-4.2404502218623685e-16,1579539746.8132253
-2.9272645505479256e-15,-4.2404502218623685e-16,1579539746.8637538
-2.9272645505479256e-15,-4.2404502218623685e-16,1579539746.9142747
-2.9272645505479256e-15,-4.2404502218623685e-16,1579539746.9647539
-2.9272645505479256e-15,-4.2404502218623685e-16,1579539747.0152466
-2.9272645505479256e-15,-4.2404502218623685e-16,1579539747.065829
-2.9272645505479256e-15,-4.2404502218623685e-16,1579539747.1165514
-2.9272645505479256e-15,-4.2404502218623685e-16,1579539747.1671255
-2.9272645505479256e-15,-4.2404502218623685e-16,1579539747.2177575
-2.9272645505479256e-15,-4.2404502218623685e-16,1579539747.2683377
-2.9272645505479256e-15,-4.2404502218623685e-16,1579539747.3188028
-2.9272645505479256e-15,-4.2404502218623685e-16,1579539747.3693278
-2.9272645505479256e-15,-4.2404502218623685e-16,1579539747.4097185
-2.9272645505479256e-15,-4.2404502218623685e-16,1579539747.4604533
-2.9272645505479256e-15,-4.2404502218623685e-16,1579539747.5109618
-2.9272645505479256e-15,-4.2404502218623685e-16,1579539747.5615199
-2.9272645505479256e-15,-4.2404502218623685e-16,1579539747.6120648
-2.9272645505479256e-15,-4.2404502218623685e-16,1579539747.6625934
-2.9272645505479256e-15,-4.2404502218623685e-16,1579539747.7130778
-2.9272645505479256e-15,-4.2404502218623685e-16,1579539747.763616
-2.9272645505479256e-15,-4.2404502218623685e-16,1579539747.8141615
-2.9272645505479256e-15,-4.2404502218623685e-16,1579539747.8646178
-2.9272645505479256e-15,-4.2404502218623685e-16,1579539747.9151173
-2.9272645505479256e-15,-4.2404502218623685e-16,1579539747.9662066
-2.9272645505479256e-15,-4.2404502218623685e-16,1579539748.0166216
-2.9272645505479256e-15,-4.2404502218623685e-16,1579539748.0671566
-2.9272645505479256e-15,-4.2404502218623685e-16,1579539748.1177177
-2.9272645505479256e-15,-4.2404502218623685e-16,1579539748.168173
-2.9272645505479256e-15,-4.2404502218623685e-16,1579539748.2185862
-2.9272645505479256e-15,-4.2404502218623685e-16,1579539748.2692194
-2.9272645505479256e-15,-4.2404502218623685e-16,1579539748.319745
-2.9272645505479256e-15,-4.2404502218623685e-16,1579539748.37031
-2.9272645505479256e-15,-4.2404502218623685e-16,1579539748.4106708
-2.9272645505479256e-15,-4.2404502218623685e-16,1579539748.4612877
-2.9272645505479256e-15,-4.2404502218623685e-16,1579539748.5117686
-2.9272645505479256e-15,-4.2404502218623685e-16,1579539748.5625868
-2.9272645505479256e-15,-4.2404502218623685e-16,1579539748.6132224
-2.9272645505479256e-15,-4.2404502218623685e-16,1579539748.6638582
-2.9272645505479256e-15,-4.2404502218623685e-16,1579539748.7142367
-2.9272645505479256e-15,-4.2404502218623685e-16,1579539748.764837
-2.9272645505479256e-15,-4.2404502218623685e-16,1579539748.8155136
-2.9272645505479256e-15,-4.2404502218623685e-16,1579539748.8661654
-2.9272645505479256e-15,-4.2404502218623685e-16,1579539748.9168756
-2.9272645505479256e-15,-4.2404502218623685e-16,1579539748.9675353
-2.9272645505479256e-15,-4.2404502218623685e-16,1579539749.0180345
-2.9272645505479256e-15,-4.2404502218623685e-16,1579539749.068601
-2.9272645505479256e-15,-4.2404502218623685e-16,1579539749.1192398
-2.9272645505479256e-15,-4.2404502218623685e-16,1579539749.1697397
-2.9272645505479256e-15,-4.2404502218623685e-16,1579539749.2202895
-2.9272645505479256e-15,-4.2404502218623685e-16,1579539749.2607198
-2.9272645505479256e-15,-4.2404502218623685e-16,1579539749.311291
