v_c,w_c,t_c
1.6536458660724611,1.5533861119692576,1579385487.1243896
0.8814911323024678,2.094600383186302,1579385487.2659276
0.9304977204472688,1.9890681784367277,1579385487.3976934
1.2421668549081724,1.461772056815394,1579385487.5392282
1.0152399891437975,1.5479873062372496,1579385487.6807296
1.257790138384801,1.0624034431107052,1579385487.7818062
1.250657410548545,1.0501821831169726,1579385487.9129808
1.3405264264464223,0.7525293100472785,1579385488.0547411
1.3565858234171648,0.7059825356000475,1579385488.186107
1.4216961897734643,0.5376145603158075,1579385488.3176117
1.4876448327346865,0.3134335730590466,1579385488.4487884
1.5215110956602154,0.2537690034547625,1579385488.5903075
1.56330866532588,0.11399697091894564,1579385488.7218523
1.5961383484257823,-0.05663634821460162,1579385488.853236
1.620013519772953,-0.17056713509173932,1579385488.9848132
1.625187237931779,-0.35353552807007893,1579385489.1162546
1.6292895726243075,-0.5036531346639848,1579385489.2476768
1.6346559646451462,-0.668982793094436,1579385489.3890333
1.6357094268092067,-0.7840722621458062,1579385489.5205672
1.6351750035750006,-0.9141091205960642,1579385489.6521611
1.6208382971748385,-1.130755325145013,1579385489.7835853
1.6380586004185997,-1.1267144061854937,1579385489.9151697
1.6475701679935655,-1.2227264230699024,1579385490.0466383
1.6321858528308015,-1.4826166513048433,1579385490.1883283
1.674112571699521,-1.6268054257467524,1579385490.289411
1.7259928393080957,-1.421649234771158,1579385490.420985
1.7581660241439099,-1.4563738529250958,1579385490.5526264
1.7985304297439448,-1.7204123876473987,1579385490.6538477
1.8563495410882866,-1.7122039021521527,1579385490.7853
1.954906341277187,-1.6506139755397622,1579385490.8865588
2.058681625719483,-1.5680343707575326,1579385490.9877644
2.1633717722679737,-1.4862387581699008,1579385491.0888298
2.2142992132414987,-1.4366745250178141,1579385491.2304153
2.3224938347555173,-1.2157994185052852,1579385491.3214636
2.422171710963289,-1.0890262805418403,1579385491.4324894
2.466200689034986,-1.0187581607672744,1579385491.56384
2.5457040909386586,-0.7819242034357508,1579385491.6650164
2.576144782056864,-0.7192676596715192,1579385491.7964897
2.625379190895178,-0.46209900678359284,1579385491.8977158
2.6219239034890958,-0.21231644630717011,1579385492.028983
2.658344448740408,-0.13210562483600602,1579385492.1300325
2.637738155729173,0.06608942705040194,1579385492.2312865
2.6241855971367922,0.24046965684269378,1579385492.3724766
2.6215062640792937,0.4001841438879077,1579385492.4735572
2.5930785598744204,0.5074107607122081,1579385492.6052198
2.552418903374413,0.7742943267065183,1579385492.7064877
2.529819985233292,0.8742453171009501,1579385492.8382423
2.4841100554376414,1.1358532723587489,1579385492.9391935
2.4707355055752087,1.0760101973549143,1579385493.0804572
2.42556249899029,1.4122638106408247,1579385493.1813974
2.4311097703071978,1.2459824493408196,1579385493.312975
2.3969379819952676,1.5882607057389264,1579385493.4139395
2.4174068179779984,1.3362528505168751,1579385493.5455961
2.4035997830682936,1.63430930642212,1579385493.676802
2.425635223652109,1.647462638763308,1579385493.7781792
2.4532128007778784,1.3647709767089233,1579385493.909524
2.4684408324568192,1.3690454416097808,1579385494.05119
2.4871344467712,1.6135574819592624,1579385494.1523097
2.511777408007371,1.590431514436588,1579385494.2837996
2.5457507772659973,1.5351165572049676,1579385494.3851194
2.5779271648317406,1.4657448422903103,1579385494.4863122
2.589859073392302,1.4269856521692925,1579385494.6279116
2.6124415948516995,1.2893226943331682,1579385494.729068
2.6163935375987704,0.9958081212104656,1579385494.8604836
2.6328489776419524,1.1585089188101365,1579385494.9616442
