v_c,w_c,t_c
0.0,0.0,1579539746.4086902
0.0,0.0,1579539746.4390254
0.0,0.0,1579539746.5097065
0.0,0.0,1579539746.5806372
0.0,0.0,1579539746.6514056
0.0,0.0,1579539746.6817691
0.0,0.0,1579539746.7525983
0.0,0.0,1579539746.8233514
0.0,0.0,1579539746.853683
0.0,0.0,1579539746.9142747
0.0,0.0,1579539746.9849226
0.0,0.0,1579539747.0556705
0.0,0.0,1579539747.0960968
0.0,0.0,1579539747.1569707
0.0,0.0,1579539747.2278674
0.0,0.0,1579539747.2986245
0.0,0.0,1579539747.3895798
0.0,0.0,1579539747.4604533
0.0,0.0,1579539747.5109618
0.0,0.0,1579539747.5413475
0.0,0.0,1579539747.6323323
0.0,0.0,1579539747.7029858
0.0,0.0,1579539747.7434177
0.0,0.0,1579539747.77377
0.0,0.0,1579539747.8646178
0.0,0.0,1579539747.9459617
0.0,0.0,1579539747.9863477
0.0,0.0,1579539748.0166216
0.0,0.0,1579539748.1076486
0.0,0.0,1579539748.1883707
0.0,0.0,1579539748.2287114
0.0,0.0,1579539748.2590961
0.0,0.0,1579539748.2894554
0.0,0.0,1579539748.3602486
0.0,0.0,1579539748.4207497
0.0,0.0,1579539748.5016997
0.0,0.0,1579539748.5828617
0.0,0.0,1579539748.6638582
0.0,0.0,1579539748.7142367
0.0,0.0,1579539748.7446425
0.0,0.0,1579539748.8256457
0.0,0.0,1579539748.9067452
0.0,0.0,1579539748.9472864
0.0,0.0,1579539748.9776049
0.0,0.0,1579539749.068601
0.0,0.0,1579539749.1394362
0.0,0.0,1579539749.1899762
0.0,0.0,1579539749.2202895
0.0,0.0,1579539749.311291
0.0,0.0,1579539749.3820198
0.0,0.0,1579539749.4324446
0.0,0.0,1579539749.4628217
0.0,0.0,1579539749.5438938
0.0,0.0,1579539749.6246736
0.0,0.0,1579539749.665183
0.0,0.0,1579539749.6955838
0.0,0.0,1579539749.7765546
0.0,0.0,1579539749.8069122
0.0,0.0,1579539749.867686
0.0,0.0,1579539749.9385026
0.0,0.0,1579539749.9789298
0.0,0.0,1579539750.0496283
0.0,0.0,1579539750.0800676
0.0,0.0,1579539750.1103747
0.0,0.0,1579539750.1507945
0.0,0.0,1579539750.181202
0.0,0.0,1579539750.2216344
0.0,0.0,1579539750.2519312
0.0,0.0,1579539750.2822754
0.0,0.0,1579539750.3528988
0.0,0.0,1579539750.4237657
0.0,0.0,1579539750.4642763
0.0,0.0,1579539750.525021
0.0,0.0,1579539750.5554402
0.0,0.0,1579539750.5959597
0.0,0.0,1579539750.6364644
0.0,0.0,1579539750.6667795
0.0,0.0,1579539750.707281
0.0,0.0,1579539750.7376728
0.0,0.0,1579539750.7679925
0.0,0.0,1579539750.8286734
0.0,0.0,1579539750.8791115
0.0,0.0,1579539750.9095054
0.0,0.0,1579539750.939847
0.0,0.0,1579539751.0104134
0.0,0.0,1579539751.0710058
0.0,0.0,1579539751.1518457
0.0,0.0,1579539751.182226
0.0,0.0,1579539751.242656
0.0,0.0,1579539751.2729604
0.0,0.0,1579539751.3134563
0.0,0.0,1579539751.353815
0.0,0.0,1579539751.424538
0.0,0.0,1579539751.4547393
0.0,0.0,1579539751.5155041
0.0,0.0,1579539751.5964842
0.0,0.0,1579539751.6673303
0.0,0.0,1579539751.6976378
0.0,0.0,1579539751.7583458
0.0,0.0,1579539751.839282
0.0,0.0,1579539751.8998468
0.0,0.0,1579539751.9301188
0.0,0.0,1579539752.000667
0.0,0.0,1579539752.0815926
0.0,0.0,1579539752.142168
0.0,0.0,1579539752.1724768
0.0,0.0,1579539752.2431717
0.0,0.0,1579539752.3139591
0.0,0.0,1579539752.384974
0.0,0.0,1579539752.4153016
0.0,0.0,1579539752.4860344
0.0,0.0,1579539752.5568552
0.0,0.0,1579539752.6273868
0.0,0.0,1579539752.6577597
-0.0,-0.0482093021273613,1579539752.7184527
-0.0,-0.0482093021273613,1579539752.7994266
-0.0,-0.0482093021273613,1579539752.8601563
-0.0,-0.0482093021273613,1579539752.8904421
-0.0,-0.0482093021273613,1579539752.9613311
-0.0,-0.0482093021273613,1579539753.0422587
